datetime,cpm,cps
 2019-07-31 18:28:21,24,0
 2019-07-31 18:28:23,24,0
 2019-07-31 18:28:24,25,1
 2019-07-31 18:28:25,26,1
 2019-07-31 18:28:26,26,0
 2019-07-31 18:28:27,27,1
 2019-07-31 18:28:27,27,0
 2019-07-31 18:28:28,27,0
 2019-07-31 18:28:30,26,0
 2019-07-31 18:28:31,26,0
 2019-07-31 18:28:32,25,1
 2019-07-31 18:28:33,25,0
 2019-07-31 18:28:34,24,0
 2019-07-31 18:28:35,24,0
 2019-07-31 18:28:35,23,0
 2019-07-31 18:28:36,23,0
 2019-07-31 18:28:38,23,0
 2019-07-31 18:28:39,23,0
 2019-07-31 18:28:40,23,0
 2019-07-31 18:28:41,23,0
 2019-07-31 18:28:42,23,0
 2019-07-31 18:28:42,23,0
 2019-07-31 18:28:43,22,0
 2019-07-31 18:28:45,22,0
 2019-07-31 18:28:46,22,0
 2019-07-31 18:28:47,21,0
 2019-07-31 18:28:48,21,0
 2019-07-31 18:28:49,21,0
 2019-07-31 18:28:50,21,0
 2019-07-31 18:28:50,21,0
 2019-07-31 18:28:51,20,0
 2019-07-31 18:28:53,20,1
 2019-07-31 18:28:54,19,0
 2019-07-31 18:28:57,18,0
 2019-07-31 18:28:57,16,0
 2019-07-31 18:28:58,15,0
 2019-07-31 18:29:00,13,0
 2019-07-31 18:29:01,13,0
 2019-07-31 18:29:02,13,0
 2019-07-31 18:29:03,13,0
 2019-07-31 18:29:04,13,1
 2019-07-31 18:29:04,13,0
 2019-07-31 18:29:05,14,1
 2019-07-31 18:29:07,16,2
 2019-07-31 18:29:08,13,0
 2019-07-31 18:29:09,12,0
 2019-07-31 18:29:10,12,0
 2019-07-31 18:29:11,12,0
 2019-07-31 18:29:12,13,1
 2019-07-31 18:29:12,14,1
 2019-07-31 18:29:13,14,0
 2019-07-31 18:29:15,14,0
 2019-07-31 18:29:16,13,0
 2019-07-31 18:29:17,13,0
 2019-07-31 18:29:18,13,1
 2019-07-31 18:29:19,12,0
 2019-07-31 18:29:19,12,0
 2019-07-31 18:29:20,12,0
 2019-07-31 18:29:22,13,1
 2019-07-31 18:29:23,13,0
 2019-07-31 18:29:24,13,0
 2019-07-31 18:29:25,13,0
 2019-07-31 18:29:26,13,1
 2019-07-31 18:29:27,13,1
 2019-07-31 18:29:27,13,0
 2019-07-31 18:29:28,12,0
